pseudoprofile_id,domain,n_runs,n_union_features_domain,topN_exported,mean_presence_frequency_topN,mean_mean_rank_topN,mean_mean_score_topN
pseudoprofile_FTC_ID040,SOCIAL,5,11,11,0.7090909090909091,114.85454559326172,0.21363195776939392
pseudoprofile_FTC_ID001,SOCIAL,5,3,3,0.6666666666666666,118.98889032999675,0.1910269856452942
pseudoprofile_FTC_ID007,SOCIAL,5,7,7,0.6285714285714287,109.21904809134347,0.21323162104402268
pseudoprofile_FTC_ID012,SOCIAL,5,8,8,0.625,128.63333320617676,0.19443796016275883
pseudoprofile_FTC_ID004,SOCIAL,5,25,25,0.5920000000000001,125.49666610717773,0.21815701365470885
pseudoprofile_FTC_ID039,SOCIAL,5,70,70,0.588571428571429,111.49738106387002,0.20652691125869752
pseudoprofile_FTC_ID030,SOCIAL,5,17,17,0.5882352941176471,116.78137285569134,0.2019084525458953
pseudoprofile_FTC_ID009,SOCIAL,5,89,89,0.5820224719101124,106.41460697570544,0.20935020302788596
pseudoprofile_FTC_ID029,SOCIAL,5,7,7,0.5714285714285715,122.14285714285714,0.21074301430157252
pseudoprofile_FTC_ID018,SOCIAL,5,17,17,0.5647058823529411,136.5852943869198,0.19085759012138143
pseudoprofile_FTC_ID047,SOCIAL,5,117,100,0.5600000000000002,98.34933327436447,0.20814804077148438
pseudoprofile_FTC_ID022,SOCIAL,5,27,27,0.5333333333333333,123.79444433141637,0.1933018681075838
pseudoprofile_FTC_ID048,SOCIAL,5,50,50,0.524,116.23499970436096,0.2109565716981888
pseudoprofile_FTC_ID023,SOCIAL,5,25,25,0.52,103.1373332977295,0.2073782229423523
pseudoprofile_FTC_ID003,SOCIAL,5,12,12,0.5166666666666667,110.41944440205891,0.2144574485719204
pseudoprofile_FTC_ID045,SOCIAL,5,16,16,0.5125,119.01145851612091,0.2081360723823309
pseudoprofile_FTC_ID015,SOCIAL,5,33,33,0.5090909090909091,128.45404000715777,0.19539687398708228
pseudoprofile_FTC_ID049,SOCIAL,5,8,8,0.5,111.2083330154419,0.20589842833578587
pseudoprofile_FTC_ID025,SOCIAL,5,17,17,0.48235294117647054,124.08725514131434,0.21864951358121984
pseudoprofile_FTC_ID021,SOCIAL,5,5,5,0.4800000000000001,122.7900001525879,0.20129345953464509
pseudoprofile_FTC_ID017,SOCIAL,5,70,70,0.4771428571428574,116.06619034324373,0.20475332822118486
pseudoprofile_FTC_ID041,SOCIAL,5,3,3,0.4666666666666666,140.66666666666666,0.19703546663125357
pseudoprofile_FTC_ID031,SOCIAL,5,7,7,0.45714285714285724,134.15714236668177,0.21826463299138205
pseudoprofile_FTC_ID027,SOCIAL,5,4,4,0.44999999999999996,125.30000019073486,0.2129397727549076
pseudoprofile_FTC_ID008,SOCIAL,5,10,10,0.44000000000000006,117.26500015258789,0.19397621750831603
pseudoprofile_FTC_ID010,SOCIAL,5,11,11,0.43636363636363645,115.58787952769886,0.2057816359129819
pseudoprofile_FTC_ID044,SOCIAL,5,6,6,0.43333333333333335,157.36666615804037,0.1946676423152288
pseudoprofile_FTC_ID020,SOCIAL,5,36,36,0.4333333333333333,113.03101857503255,0.21389036998152733
pseudoprofile_FTC_ID050,SOCIAL,5,16,16,0.425,107.27812492847443,0.2174939988180995
pseudoprofile_FTC_ID002,SOCIAL,5,7,7,0.4000000000000001,139.9642846243722,0.19982468230383738
pseudoprofile_FTC_ID035,SOCIAL,5,1,1,0.4,117.0,0.20843909680843353
pseudoprofile_FTC_ID034,SOCIAL,5,11,11,0.4,127.87878764759411,0.20663853125138718
pseudoprofile_FTC_ID036,SOCIAL,5,11,11,0.4,134.6893934770064,0.20868816836313767
pseudoprofile_FTC_ID019,SOCIAL,5,2,2,0.4,152.66666412353516,0.2094118446111679
pseudoprofile_FTC_ID032,SOCIAL,5,43,43,0.3999999999999999,137.99806213378906,0.2165392245664153
pseudoprofile_FTC_ID024,SOCIAL,5,26,26,0.3923076923076923,121.05769223433275,0.2128385271017368
pseudoprofile_FTC_ID026,SOCIAL,5,72,72,0.3916666666666667,122.87013884385426,0.22395088213185468
pseudoprofile_FTC_ID028,SOCIAL,5,9,9,0.3777777777777778,92.67777760823567,0.2084016435676151
pseudoprofile_FTC_ID005,SOCIAL,5,37,37,0.3675675675675675,117.98423416550095,0.20033385262296005
pseudoprofile_FTC_ID014,SOCIAL,5,5,5,0.36,141.16000061035157,0.21187601387500762
pseudoprofile_FTC_ID033,SOCIAL,5,9,9,0.3333333333333333,122.02777777777777,0.18462339871459538
pseudoprofile_FTC_ID046,SOCIAL,5,4,4,0.25,139.5,0.20684527605772018
pseudoprofile_FTC_ID037,SOCIAL,5,26,26,0.2461538461538462,116.46538455669696,0.24824676089561903
pseudoprofile_FTC_ID038,SOCIAL,5,3,3,0.20000000000000004,111.0,0.2180235137542089
pseudoprofile_FTC_ID013,SOCIAL,5,2,2,0.2,153.5,0.21217604726552963
pseudoprofile_FTC_ID043,SOCIAL,5,4,4,0.2,162.75,0.18234770372509956
pseudoprofile_FTC_ID016,SOCIAL,5,6,6,0.19999999999999998,169.16666666666666,0.20469946165879568
