operation,backend,n,unit,mean,median,iqr_low,iqr_high,p95,p99,human_median,human_p95
criterion_degree_for_predictor,Adjacency graph,216,μs,0.1651018518518519,0.166,0.125,0.16699999999999998,0.20900000000000002,0.516099999999999,0.2 μs,0.2 μs
criterion_degree_for_predictor,SPARQL,216,ms,8.627164157407408,6.881521,5.203166749999999,11.596739,16.791041999999997,20.3711374,6.882 ms,16.791 ms
criterion_degree_for_predictor,SQL,216,μs,145.6425277777778,80.31250000000001,33.27125,231.7505,407.10375,566.3125,80.3 μs,407.1 μs
top10_criteria_for_predictor,Adjacency graph,216,μs,0.3285462962962963,0.208,0.16699999999999998,0.20900000000000002,1.11425,1.940099999999999,0.2 μs,1.1 μs
top10_criteria_for_predictor,SPARQL,216,ms,18.202417425925926,12.379604,7.7924065,24.248531,38.87426,49.12132325,12.380 ms,38.874 ms
top10_criteria_for_predictor,SQL,216,μs,117.3276064814815,69.97900000000001,35.03125,167.35450000000003,303.91675000000004,567.7438499999998,70.0 μs,303.9 μs
