backend,operation,n,mean_ms,median_ms,min_ms,max_ms,p95_ms
Adjacency graph,criterion_degree_for_predictor,216,0.00016510185185185185,0.000166,0.000125,0.001208,0.000209
SQL,criterion_degree_for_predictor,216,0.14564252777777778,0.08031250000000001,0.007791,0.571125,0.40710375
SPARQL,criterion_degree_for_predictor,216,8.627164157407408,6.881521,3.511791,21.06425,16.791041999999997
Adjacency graph,top10_criteria_for_predictor,216,0.0003285462962962963,0.000208,0.000125,0.003416,0.00111425
SQL,top10_criteria_for_predictor,216,0.1173276064814815,0.06997900000000001,0.011458,0.648917,0.30391675
SPARQL,top10_criteria_for_predictor,216,18.202417425925926,12.379604,4.672584,243.181417,38.87426
